molecule,conformer_id,pool_index,common_scaffold_cluster,common_scaffold_representative,relative_electronic_energy_kj_mol,electronic_weight_if_representative,total_mean_clearance_probe_0_5_angstrom,total_top_decile_clearance_probe_0_5_angstrom,total_positive_clearance_integral_probe_0_5_angstrom,nonlocal_mean_clearance_probe_0_5_angstrom,nonlocal_top_decile_clearance_probe_0_5_angstrom,re_nonlocal_mean_clearance_probe_0_5_angstrom,si_nonlocal_mean_clearance_probe_0_5_angstrom,para_substituent_limiter_fraction,direct_para_substituent_nonlocal_integral_delta_angstrom,direct_para_substituent_total_mean_clearance_delta_angstrom,direct_para_substituent_nonlocal_environment_mean_clearance_delta_angstrom,re_minus_si_nonlocal_mean_clearance_angstrom,minimum_para_substituent_distance_from_carbonyl_c_angstrom,carbonyl_c_o_length_angstrom,amide_c_n_length_angstrom,mayer_bond_order_c_o,mayer_bond_order_c_n,loewdin_charge_carbonyl_c,loewdin_charge_carbonyl_o,loewdin_charge_amide_n,dipole_magnitude_debye,homo_lumo_gap_ev,benzoyl_carbonyl_torsion_abs_mean_deg
1p-iPrBz-LSD_RR,conf003,74,dft_core_cluster_001,True,0.0,0.24521081735383402,-0.8288240665716748,0.07753097596848973,0.007784612706665449,-0.7130668881379033,0.29751691756961635,-0.7143610547494004,-0.7117727215264062,0.034722222222222224,0.0,-0.010746945187061652,-0.027176005495554212,-0.0025883332229941214,5.857733521271835,1.2158172825024056,1.4039026435928752,2.0891,1.0339,0.099072,-0.168533,0.020991,3.917294963,4.1206,38.37079108068808
1p-iPrBz-LSD_RR,conf002,145,dft_core_cluster_002,True,0.14145421249404622,0.23161032666437087,-0.8202185124353675,0.07721667197164032,0.0077557599226967654,-0.702510729900924,0.29894475298922163,-0.6860984325916442,-0.7189230272102038,0.0125,0.0,-0.0007787504457549277,-0.01637667829245182,0.03282459461855969,5.857933297145597,1.2158806440773096,1.4038022531355325,2.0884,1.0346,0.099103,-0.168749,0.021024,3.950280775,4.126399999999999,38.90457335232213
1p-iPrBz-LSD_RR,conf001,49,dft_core_cluster_003,True,0.3804049463327615,0.21032725880199823,-0.8184213968480661,0.076723667005116,0.007710138775952289,-0.7002911760927283,0.3017897288710798,-0.7138423174734398,-0.6867400347120167,0.008333333333333333,0.0,-0.00024946036907513847,-0.015832254332398876,-0.027102282761423124,5.858020567174469,1.2158437990171749,1.4036924038191056,2.0885,1.0348,0.099087,-0.168436,0.021174,5.040167597,4.1281,39.08500416234335
1p-iPrBz-LSD_RR,conf006,73,dft_core_cluster_004,True,1.420304433958127,0.13826525328951794,-0.8195210864146654,0.0757990420513546,0.007622986399640319,-0.7026828012463526,0.29960977762334745,-0.7160502383789971,-0.6893153641137082,0.013888888888888888,0.0,-0.0003879550664532827,-0.01567313767659617,-0.026734874265288866,5.858408070044948,1.2158373604130235,1.4029855983801873,2.0884,1.0371,0.0984,-0.168766,0.021074,6.637168508,4.1037,39.371042436550134
1p-iPrBz-LSD_RR,conf007,6,dft_core_cluster_005,True,1.534061927583253,0.13206374326815623,-0.8185635750830501,0.0765203330134608,0.007691357764617434,-0.7007374985589555,0.3013008647984554,-0.7153391507610443,-0.6861358463568666,0.008333333333333333,0.0,-0.00020253668544001346,-0.015645366357173174,-0.02920330440417762,5.85863189643004,1.2159348762439608,1.402961413801099,2.0877,1.0373,0.098449,-0.168955,0.021074,6.633677544,4.0999,39.250947283600055
1p-iPrBz-LSD_RR,conf009,91,dft_core_cluster_005,False,3.3180081511175437,,-0.818045258231228,0.07717869103140516,0.007752995738574397,-0.6991013466161513,0.3041200388765689,-0.7154282512926665,-0.682774441939636,0.008333333333333333,0.0,-0.0002452405303949856,-0.015859037413255894,-0.03265380935303053,5.857949531623657,1.2158662339524948,1.4036981060998435,2.0879,1.0351,0.099122,-0.168492,0.021143,4.955217805,4.1281,39.17476548750984
1p-iPrBz-LSD_RR,conf005,13,dft_core_cluster_006,True,7.363419525418216,0.012575473211450439,-0.8225196645357199,0.07568525881758921,0.007642024267693951,-0.7291894658768079,0.26240247551497947,-0.7054470131163156,-0.7530641885691135,0.015277777777777777,0.0,-0.0004461040743123368,-0.015974232423392576,0.047617175452797866,5.8486026697895905,1.214805098676192,1.411448451067439,2.1074,1.0175,0.100222,-0.166366,0.013928,2.989980829,4.0543,36.69620637200053
1p-iPrBz-LSD_RR,conf004,94,dft_core_cluster_007,True,7.655513360159657,0.011177680985098115,-0.8436298119461717,0.0758572952151588,0.007660566384367809,-0.7568494805482803,0.26081533605644464,-0.7780378612089331,-0.735778487038102,0.03611111111111111,0.0,-0.011498967899184143,-0.027408643470671845,-0.04225937417083114,5.848452168257215,1.214780887160156,1.4114761049512328,2.1071,1.0174,0.100271,-0.166047,0.01381,4.960679972,4.0663,36.56593025827727
1p-iPrBz-LSD_RR,conf010,20,dft_core_cluster_008,True,8.027443096432437,0.009620384719861123,-0.8240684797831405,0.0757000921769398,0.00764651332883349,-0.729935855976662,0.2634706056824674,-0.7018648798721991,-0.7581632163491163,0.013888888888888888,0.0,-0.000942087616746301,-0.016420523925435915,0.05629833647691718,5.849003636207315,1.2150976085979237,1.4106402229491224,2.1057,1.0202,0.099806,-0.167902,0.013824,1.923717918,4.0325999999999995,36.56460177076198
1p-iPrBz-LSD_RR,conf008,110,dft_core_cluster_009,True,8.151968364784386,0.009149061705712969,-0.8441360936259021,0.07597524071688277,0.007671647125099689,-0.7575306841097768,0.2620370247081745,-0.7817503422734315,-0.7334452068777765,0.03611111111111111,0.0,-0.011627687304842205,-0.02816411721206835,-0.04830513539565506,5.848628461685717,1.2151023247421238,1.4106963638928876,2.105,1.0203,0.099869,-0.167809,0.013693,3.304027106,4.0459,36.433534107839336
